"Source:","/home/dionys/workspaces/KiCad/rix-detector/rix/rix.kicad_sch"
"Date:","Wed 23 Nov 2022 10:49:33 PM AST"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","19"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","50v 10uF","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor",""
"C2, ","1","50v 1uF","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor",""
"C3, ","1","10nF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"D1, ","1","LED","LED","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode",""
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom","Mounting Hole with connection",""
"J1, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","DC Barrel Jack with an internal switch",""
"J2, ","1","Detection coil","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","External antenna","Conn_01x01_Male","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, ","1","1M","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"R2, ","1","1K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"R3, ","1","220R","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"RV1, ","1","10K","R_Potentiometer_MountingPin","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","Potentiometer with a mounting pin",""
"U1, ","1","74LS04","74LS04","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Hex Inverter",""
"U2, ","1","L78L05_SOT89","L78L05_SOT89","Package_TO_SOT_SMD:SOT-89-3","Positive 100mA 30V Linear Regulator, Fixed Output 5V, SOT-89",""
"Y1, Y2, ","2","8.0 Mhz Crystal","Crystal","Crystal:Crystal_HC49-4H_Vertical","Two pin crystal",""
