"Source:","/home/dionys/workspaces/KiCad/rix-detector/rix/rix.kicad_sch"
"Date:","Thu 08 Dec 2022 02:12:27 PM AST"
"Tool:","Eeschema 6.0.9-8da3e8f707~117~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","41"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","C_Polarized","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor",""
"C3, C4, ","2","C_Small","C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor, small symbol",""
"D1, D2, D3, D4, D5, D6, D7, D8, ","8","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"H1, H2, H3, H4, H5, ","5","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom","Mounting Hole with connection",""
"J1, J2, ","2","AudioJack3_SwitchTR","AudioJack3_SwitchTR","Connector_Audio:Jack_3.5mm_Ledino_KB3SPRS_Horizontal","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)",""
"J3, ","1","Conn_01x02_Male","Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack with an internal switch",""
"Q1, ","1","IRFS4127","IRFS4127","Package_TO_SOT_THT:TO-92_Wide","72A Id, 200V Vds, 18.6mOhm Rds, N-Channel MOSFET, 18.6mOhm Ron, D2PAK",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, ","13","R","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"SW1, ","1","SW_DIP_x01","SW_DIP_x01","Button_Switch_THT:SW_PUSH_6mm_H5mm","1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"SW2, ","1","SW_Push_DPDT","SW_Push_DPDT","Button_Switch_THT:SW_Push_2P2T_Toggle_CK_PVA2OAH5xxxxxxV2","Momentary Switch, dual pole double throw",""
"U1, ","1","74LS02","74LS02","Package_DIP:DIP-14_W7.62mm","quad 2-input NOR gate",""
"U2, ","1","L78L05_TO92","L78L05_TO92","Package_TO_SOT_THT:TO-92_Wide","Positive 100mA 30V Linear Regulator, Fixed Output 5V, TO-92",""
"U3, ","1","TL431PK","TL431PK","Package_TO_SOT_THT:TO-92_Wide","Shunt Regulator, SOT-89",""
"Y1, ","1","Crystal","Crystal","Crystal:Crystal_HC49-4H_Vertical","Two pin crystal",""
